model,NaCl_Percent,Rep,RAW_Temp,M_Temp,EC
model03,2.0,6,31.0,2858.0,584.0
model03,0.1,17,52.8,4805.0,149.0
model03,1.7,15,40.7,3874.0,582.0
model03,1.0,1,24.8,2480.0,371.0
model03,1.2,10,30.8,2928.0,436.0
model03,0.7,15,41.7,3957.0,362.0
model03,1.7,21,62.1,5434.0,757.0
model03,0.4,22,63.2,5688.0,333.0
model03,2.0,1,24.6,2300.0,539.0
model03,1.2,12,44.0,3703.0,500.0
model03,1.3,28,69.5,5338.0,730.0
model03,1.8,22,62.0,5617.0,786.0
model03,0.7,26,79.2,6086.0,500.0
model03,1.0,5,24.8,2449.0,374.0
model03,1.5,33,88.2,6885.0,979.0
model03,1.8,3,25.6,2490.0,524.0
model03,1.7,34,82.1,7729.0,922.0
model03,0.5,30,74.3,7001.0,411.0
model03,1.9,32,79.8,7193.0,935.0
model03,1.8,6,33.9,2949.0,573.0
model03,0.9,26,72.8,5683.0,667.0
model03,0.2,27,74.2,6781.0,258.0
model03,0.2,18,56.9,5191.0,220.0
model03,0.7,31,84.0,5403.0,604.0
model03,1.0,4,24.8,2444.0,373.0
model03,0.8,3,23.3,2266.0,322.0
model03,1.0,23,61.7,5731.0,556.0
model03,0.7,4,24.1,2350.0,306.0
model03,1.3,33,82.5,6468.0,802.0
model03,1.4,10,31.4,3004.0,487.0
model03,2.0,19,51.8,4823.0,740.0
model03,1.2,17,53.1,4496.0,557.0
model03,0.3,27,74.0,6474.0,318.0
model03,1.3,5,24.8,2497.0,435.0
model03,1.6,28,75.5,6208.0,925.0
model03,0.2,11,47.1,4054.0,201.0
model03,0.5,9,32.1,3099.0,273.0
model03,0.9,3,25.6,2546.0,353.0
model03,0.0,29,74.8,7016.0,63.0
model03,1.4,2,25.0,2495.0,453.0
model03,0.3,10,33.5,3210.0,218.0
model03,2.0,8,31.1,2901.0,587.0
model03,1.7,29,72.0,6781.0,828.0
model03,0.0,30,74.8,7107.0,65.0
model03,1.9,23,58.9,5497.0,774.0
model03,0.5,7,32.1,3027.0,276.0
model03,1.2,6,30.8,2843.0,432.0
model03,1.2,1,23.6,2329.0,400.0
model03,1.6,29,75.4,6347.0,907.0
model03,1.8,7,33.8,3140.0,577.0
model03,2.0,32,81.7,7475.0,981.0
model03,0.5,34,87.1,8105.0,454.0
model03,1.1,4,24.3,2374.0,389.0
model03,0.8,14,43.1,4082.0,394.0
model03,1.0,2,24.8,2451.0,372.0
model03,1.9,13,40.7,3804.0,641.0
model03,0.2,13,47.2,4346.0,204.0
model03,1.4,23,63.6,5850.0,692.0
model03,1.6,4,25.4,2524.0,487.0
model03,0.2,23,62.8,5412.0,236.0
model03,0.6,21,66.6,5403.0,413.0
model03,0.9,13,41.9,3886.0,416.0
model03,1.8,21,62.1,4760.0,779.0
model03,1.5,13,40.7,3737.0,585.0
model03,0.1,19,52.9,4955.0,150.0
model03,1.6,16,52.4,4466.0,680.0
model03,0.7,33,84.0,7185.0,597.0
model03,0.9,1,25.6,2567.0,346.0
model03,1.6,12,40.9,3775.0,611.0
model03,1.5,24,59.7,5524.0,735.0
model03,1.2,8,30.8,2876.0,430.0
